TIPO,VOLAT,r3m,r6m
MM,1.90,13.59,27.83
MM,1.67,12.48,26.45
MM,1.74,12.85,27.18
MM,1.75,12.74,26.95
MM,1.82,13.37,27.78
MM,1.77,12.89,27.46
MM,1.80,13.23,27.53
MM,1.78,13.09,27.68
MM,1.75,12.79,27.06
MM,1.73,12.66,26.73
MM,1.74,12.80,27.40
MM,1.70,12.51,26.44
MM,1.71,12.56,26.40
MM,1.74,12.64,26.60
MM,1.59,12.32,26.08
MM,1.67,12.34,26.03
MM,1.72,12.57,26.28
MM,1.71,12.61,26.54
MM,1.64,12.15,25.57
MM,1.68,12.23,26.17
RF,9.68,10.48,14.63
RF,12.75,4.64,15.11
RF,7.59,3.35,13.68
RF,7.73,10.64,13.79
RF,5.72,12.73,15.05
RF,7.58,5.30,16.99
RF,6.81,15.20,20.07
RF,8.17,6.65,14.14
RF,4.92,10.94,15.94
RF,5.41,14.98,18.08
RF,5.94,12.38,15.00
RF,3.59,13.42,18.42
RF,5.95,15.06,14.42
RF,11.84,6.77,11.52
RF,10.31,3.76,10.04
RF,10.45,3.17,17.44
RF,6.92,13.95,14.21
RF,4.37,-3.70,-2.65
RF,8.84,2.85,4.61
RF,5.06,4.95,17.40
EQ,38.41,27.12,13.23
EQ,38.68,30.09,14.90
EQ,37.83,27.10,15.49
EQ,38.70,29.28,13.64
EQ,37.74,29.10,17.22
EQ,37.30,26.78,13.54
EQ,38.32,28.90,14.82
EQ,36.35,27.46,18.83
EQ,37.57,26.55,17.35
EQ,37.30,25.60,10.65
EQ,37.00,29.35,17.08
EQ,37.02,24.88,11.39
EQ,35.85,27.44,15.12
EQ,37.07,26.37,11.85
EQ,36.53,25.74,13.13
EQ,34.86,25.50,14.01
EQ,32.44,25.64,15.90
EQ,33.08,30.39,13.70
EQ,33.10,27.56,10.82
