ID,TIPO,VOLAT,r3m,r6m,cluster_kmeans,cluster_agglo,km_pred_tipo,ag_pred_tipo,km_flag_diff,ag_flag_diff,flag_raro
MM_0,MM,1.9,13.59,27.83,0,2,MM,MM,False,False,False
MM_1,MM,1.67,12.48,26.45,0,2,MM,MM,False,False,False
MM_2,MM,1.74,12.85,27.18,0,2,MM,MM,False,False,False
MM_3,MM,1.75,12.74,26.95,0,2,MM,MM,False,False,False
MM_4,MM,1.82,13.37,27.78,0,2,MM,MM,False,False,False
MM_5,MM,1.77,12.89,27.46,0,2,MM,MM,False,False,False
MM_6,MM,1.8,13.23,27.53,0,2,MM,MM,False,False,False
MM_7,MM,1.78,13.09,27.68,0,2,MM,MM,False,False,False
MM_8,MM,1.75,12.79,27.06,0,2,MM,MM,False,False,False
MM_9,MM,1.73,12.66,26.73,0,2,MM,MM,False,False,False
MM_10,MM,1.74,12.8,27.4,0,2,MM,MM,False,False,False
MM_11,MM,1.7,12.51,26.44,0,2,MM,MM,False,False,False
MM_12,MM,1.71,12.56,26.4,0,2,MM,MM,False,False,False
MM_13,MM,1.74,12.64,26.6,0,2,MM,MM,False,False,False
MM_14,MM,1.59,12.32,26.08,0,2,MM,MM,False,False,False
MM_15,MM,1.67,12.34,26.03,0,2,MM,MM,False,False,False
MM_16,MM,1.72,12.57,26.28,0,2,MM,MM,False,False,False
MM_17,MM,1.71,12.61,26.54,0,2,MM,MM,False,False,False
MM_18,MM,1.64,12.15,25.57,0,2,MM,MM,False,False,False
MM_19,MM,1.68,12.23,26.17,0,2,MM,MM,False,False,False
RF_20,RF,9.68,10.48,14.63,3,3,RF,RF,False,False,False
RF_21,RF,12.75,4.64,15.11,2,0,RF,RF,False,False,False
RF_22,RF,7.59,3.35,13.68,2,0,RF,RF,False,False,False
RF_23,RF,7.73,10.64,13.79,3,3,RF,RF,False,False,False
RF_24,RF,5.72,12.73,15.05,3,3,RF,RF,False,False,False
RF_25,RF,7.58,5.3,16.99,2,0,RF,RF,False,False,False
RF_26,RF,6.81,15.2,20.07,3,3,RF,RF,False,False,False
RF_27,RF,8.17,6.65,14.14,2,0,RF,RF,False,False,False
RF_28,RF,4.92,10.94,15.94,3,3,RF,RF,False,False,False
RF_29,RF,5.41,14.98,18.08,3,3,RF,RF,False,False,False
RF_30,RF,5.94,12.38,15.0,3,3,RF,RF,False,False,False
RF_31,RF,3.59,13.42,18.42,3,3,RF,RF,False,False,False
RF_32,RF,5.95,15.06,14.42,3,3,RF,RF,False,False,False
RF_33,RF,11.84,6.77,11.52,2,0,RF,RF,False,False,False
RF_34,RF,10.31,3.76,10.04,2,0,RF,RF,False,False,False
RF_35,RF,10.45,3.17,17.44,2,0,RF,RF,False,False,False
RF_36,RF,6.92,13.95,14.21,3,3,RF,RF,False,False,False
RF_38,RF,8.84,2.85,4.61,2,0,RF,RF,False,False,False
RF_39,RF,5.06,4.95,17.4,2,0,RF,RF,False,False,False
EQ_40,EQ,38.41,27.12,13.23,1,1,EQ,EQ,False,False,False
EQ_41,EQ,38.68,30.09,14.9,1,1,EQ,EQ,False,False,False
EQ_42,EQ,37.83,27.1,15.49,1,1,EQ,EQ,False,False,False
EQ_43,EQ,38.7,29.28,13.64,1,1,EQ,EQ,False,False,False
EQ_44,EQ,37.74,29.1,17.22,1,1,EQ,EQ,False,False,False
EQ_45,EQ,37.3,26.78,13.54,1,1,EQ,EQ,False,False,False
EQ_46,EQ,38.32,28.9,14.82,1,1,EQ,EQ,False,False,False
EQ_47,EQ,36.35,27.46,18.83,1,1,EQ,EQ,False,False,False
EQ_48,EQ,37.57,26.55,17.35,1,1,EQ,EQ,False,False,False
EQ_49,EQ,37.3,25.6,10.65,1,1,EQ,EQ,False,False,False
EQ_50,EQ,37.0,29.35,17.08,1,1,EQ,EQ,False,False,False
EQ_51,EQ,37.02,24.88,11.39,1,1,EQ,EQ,False,False,False
EQ_52,EQ,35.85,27.44,15.12,1,1,EQ,EQ,False,False,False
EQ_53,EQ,37.07,26.37,11.85,1,1,EQ,EQ,False,False,False
EQ_54,EQ,36.53,25.74,13.13,1,1,EQ,EQ,False,False,False
EQ_55,EQ,34.86,25.5,14.01,1,1,EQ,EQ,False,False,False
EQ_56,EQ,32.44,25.64,15.9,1,1,EQ,EQ,False,False,False
EQ_57,EQ,33.08,30.39,13.7,1,1,EQ,EQ,False,False,False
EQ_58,EQ,33.1,27.56,10.82,1,1,EQ,EQ,False,False,False
